"Find companies","Created At","Updated At","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Update People Search (Find people Table) - 2025-07-25T09:00:16.081Z","Send table data","Send table data (2)","Send table data (3)","Send table data (4)","Send table data (5)"
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.340Z","EnTech","EnTech Engineering, PC is a multidisciplinary, WBE-certified engineering and construction management firm devoted to delivering best-in-class design and construction support services for infrastructure and facility projects that strengthen communities nation-wide. We are a team of engineers, construction managers, environmental scientists, technologists, and consultants who are passionate about improving the infrastructure, buildings, and communities that surround us. We bring both technical expertise and an entrepreneurial spirit to every endeavor, and we pride ourselves on our commitment to understanding the unique needs and constraints of projects large and small.
EnTech is headquartered in Manhattan, with additional offices in Iselin, NJ, and Washington, DC. We are ranked by Engineering News-Record as one of the Top 100 National CM-for-Fee Firms, and as one of the Top New York/New Jersey Design Firms.","Civil Engineering","201-500 employees","Privately Held","New York, NY","United States","entech.nyc","https://www.linkedin.com/company/entech-engineering-pc","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.728Z","Haag, a Salas O'Brien Company","Haag is an employee-owned forensic engineering & technical consulting firm, since 1924. In June 2024, Haag joined Salas O'Brien, an employee-owned engineering and technical services firm focused on advancing the built environment. 

*FORENSIC ENGINEERING- Haag provides failure analysis, extent of damage, and repair options for civil/structural, mechanical, electrical, metallurgical, construction defect, product liability/failure, and transportation cases.

*FORENSIC METEOROLOGY- Haag's expert meteorologists conduct detailed meteorological analyses of severe weather events, assess weather effects on building performance, and provide expert witness testimony. 

*FORENSIC ARCHITECTURE- Haag’s forensic architects evaluate construction defects, standard of care, premises liability, building envelope/moisture intrusion, ADA/code compliance, and provide expert witness and litigation support. 

*TESTING- Haag's IAS Accredited lab offers material & product testing, roofing desaturation, ice- and steel-ball impact testing, pressure chamber, wind simulator testing and customizable testing.

*CONSTRUCTION CONSULTING- services include restoration and reconstruction consulting, detailed estimates, replacement cost (ITV) assessments, demand appraisals, clerk of works, and construction or property claim litigation support, including delay and quantum claims, and construction defect litigation.

*FIRE O&C- provides fire O&C investigation services, specializing in commercial and complex losses.  

*EDUCATION- premier training programs including the Haag Certified Inspector & Haag Certified Reviewer, plus online and classroom seminars, and reference books & tools including Shingle Gauges and Haag Panel & Membrane Gauge. 

*GIS, BIM, & 3D TECHNOLOGIES- technical support, resources & analysis to forensic, litigation, oil & gas clients","Civil Engineering","51-200 employees","Privately Held","Flower Mound, Texas","United States","haagglobal.com","https://www.linkedin.com/company/haag-global","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.728Z","Milekal Inc.","Milekal is one of the signature steel detailing and design solution companies in the global market since 2016. Company has formed by group of young enthusiastic engineers, who have vivid experience in the construction and infrastructure industry. Our engineers are powered by synergy of American & European structural knowledge and technologies more than decades. 

We have best-experienced professionals in American, Canadian & European Standards.
We designed and built our capabilities with the most experienced steel detailing team in the industry.
Our innovative approach and continual learning ensure the quality and timely delivered output to our clients.
We offer sustainable engineering solutions through a comprehensive range of services and innovative technologies.
Quality is our state of mind, versatile designing & detailing experiences is our strength and excellence in project management is the foundation stone of organization.","Civil Engineering","51-200 employees","Privately Held","Delaware, US","United States","milekal.com","https://www.linkedin.com/company/milekal-engineering-mi","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.728Z","eLogicTech Solutions","eLogicTech specializes in Building Information Modeling (BIM), Engineering services (CAM/CAE) and IoT development.

The company strives to satisfy the mechanical, industrial and construction segments which demand time-bound and quality designing, modeling and documentation services. Staying true to its objective of high professional commitment, eLogicTech has managed to maintain a strong ongoing working partnership with some of the leading Architectural, Engineering and Industry houses of USA and Canada and has successfully completed more than 10000+ projects in a span of 25+ years. eLogicTech clients range from mid-sized firms to some of the Fortune 500 companies.

eLogicTech has experienced a steady growth since its inception, and awarded Technology Fast 50 India and Technology Fast 500 Asia Pacific in March 2008.","Architecture and Planning","51-200 employees","Privately Held",,"United States","elogictech.com","https://www.linkedin.com/company/elogictech-solutions","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.340Z","Dawood Engineering, Inc.","Established in 1992, Dawood Engineering plans, designs, and constructs sustainable environments throughout the U.S., features Government Finance Solutions, and develops real estate through Good Hope Ventures. In Europe, Asia, and the Middle East, we extend digital transformation, surveying, GIS, BIM, and smart facility solutions through Twin Track, our custom mobile app connecting with your digital twin. 

Dawood delivers award-winning technology, planning, design, and predictive analytics to transportation, utility, energy, industrial, planning, economic and land development, environmental, municipal, movie and entertainment, real estate, and retail clients. Our workforce development, mentor-protégé, and community programs advance STEM, diversity, equity, inclusion, and belonging.","Civil Engineering","51-200 employees","Privately Held","Harrisburg, Pennsylvania","United States","dawood.net","https://www.linkedin.com/company/dawoodengineers","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.340Z","Michael Hsu Office of Architecture","Michael Hsu Office of Architecture was formed in 2005 with the goal of producing locally-engaged, design driven architecture and interiors in Austin. MHOA endeavors to create livable, neighborhood-oriented urban spaces. Our work includes diverse projects ranging from mixed-use developments to original commercial interiors and residences.

MHOA advocates a simple, edited design palette, using available materials and techniques to create unexpected results. MHOA believes in the innate beauty of unadorned natural materials, carefully chosen, composed and crafted.

MHOA is concerned with producing work that is functional, engaging and honest. We believe in the active collaboration between designer, client, consultant, and craftsman and embrace the challenges of site and budget to inspire highly creative, cost-effective solutions. Our numerous adaptive re-use projects demonstrate our passion for imaginative and sustainable solutions from modest resources.","Architecture and Planning","51-200 employees","Privately Held","Austin, Texas","United States","hsuoffice.com","https://www.linkedin.com/company/michael-hsu-office-of-architecture","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.728Z","SGA (Boston | New York)","SGA was founded in 1991 as a full-service architecture, planning, interior design, virtual design and construction (VDC) and branded environments firm with locations in Boston and New York City. SGA is built around a strong design culture that is truly client-inclusive. Our passion for unparalleled design comes from the successful integration of creative solutions for unique client needs.

ARCHITECTURE + PLANNING
Our process-oriented architecture studio works with clients to create innovative, ground-breaking and sustainable design solutions for their unique programmatic, business and organizational needs. With BIM, we are rapidly solving clients’ challenges and improving the design process. 

INTERIOR DESIGN 
Our dynamic interior design teams collaborate with clients to understand and emulate each client’s unique mission, goals and corporate culture. Whether we’re working within previously set standards or establishing our own, our perpetual interest in your needs ensures the best new workplace for you.

VIRTUAL DESIGN + CONSTRUCTION (VDC)
Our VDC (Virtual Design and Construction) service allows us to deliver a more cost-effective, more streamlined process for design and construction. This project delivery method saves clients time and money, mitigates risk, and delivers innovative, progressive building solutions.

SCIENCE + TECHNOLOGY PLANNING
Leading edge science requires leading edge facilities to support it. Science is constantly changing and evolving, even faster than the design and build process. We at SGA work with our clients to anticipate their needs as the science develops. Whether it be an accelerator or a major corporate facility, SGA develops projects that can readily accommodate change in a client’s science and business model. 
BRANDED ENVIRONMENTS
Our in-house Branded Environments team provides strategic thinking, conceptualization and development of Communication Graphics as well as Signage Design and Wayfinding Strategies. When branding your envir","Architecture and Planning","51-200 employees","Partnership","Boston, MA","United States","sga-arch.com","https://www.linkedin.com/company/sga-boston-new-york","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.340Z","Acelab","Founded by architects who faced the daily challenges of material selection firsthand, Acelab is transforming how the built environment takes shape. We believe that every material choice matters – not just for performance and aesthetics, but for the future of our planet. Our team of architects, designers, and technologists created Materials Hub to empower firms to make material choices that matter, turning their collective expertise into better project outcomes. By bridging the gap between material science and architectural practice, we're helping firms deliver spaces that don't just meet today's standards – they define tomorrow's possibilities.","Architecture and Planning","51-200 employees","Privately Held","Brooklyn, New York","United States","acelabusa.com","https://www.linkedin.com/company/acelab","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.340Z","INFINIUM Wall Systems","Infinium designs, engineers, manufactures and installs glass fronts and interior wall systems for offices, integrating clean modern aesthetics with uncompromising engineering expertise, including the best sound reduction in the industry.

A major part of our culture is to be responsive to the needs of the design and architectural community. As a result, Infinium offers five product lines, by far the most in the industry. By turning the market’s vision into reality, Infinium has developed a reputation of being an innovative leader. We continually monitor the market and have product concepts developed, ready to fill market needs.","Architecture and Planning","51-200 employees","Privately Held","Strongsville, OH","United States","infiniumwalls.com","https://www.linkedin.com/company/infinium-wall-systems","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.340Z","Lewis & Hickey Architects","Lewis and Hickey's creative and imaginative approach provides our clients with innovative, distinctive and sustainable design solutions that inspire the built environment. Our focus on quality is reflected by the attention we pay to the smallest details. WE DESIGN | WE DELIVER.

We take great pride in the fact that our buildings and environments work well.

Our inclusive approach means the client is always central to the design process. Our open mindedness means that we work with you, not just for you.","Architecture and Planning","51-200 employees","Privately Held","Edinburgh, Guildford, London, Manchester, Nottingham","United States","lewishickey.com","https://www.linkedin.com/company/lewis-&-hickey-ltd","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.340Z","Grace Hebert Curtis Architects","While we aren't restrained by a signature look, we do have a signature way of doing business that delivers the best solution possible, every step of the way. Grace Hebert Curtis goes beyond just technical experience in order to provide a broad spectrum of design.

Established over 50 years ago as C.E. Newman and Fred J. Grace, today Grace Hebert Curtis continues to experience substantial growth in size and reputation. While the foundation of our approach remains the same, flexibility in strategies has continued to drive success and allow the firm to recognize opportunities along the way. We have discovered that although great service never gets old, it takes dedication and finely tuned experience.

Over the years Grace Hebert Curtis has continued to provide clients with clear, understandable, and up-to-date information as their projects progress. Our framework is built on outstanding reputation and legacy, making us a regional powerhouse with national-level capacity and expertise. We offer in-depth knowledge of a broad range of market sectors, and we are actively anticipating and adapting to lead the next generation of design and delivery.

Through the acquisition of New Orleans-based HMS Architects in 2018, and Curtis Group Architects in 2019, we have continued our tradition of strengthening focus while expanding upon core capabilities. As our clients will attest, Grace Hebert Curtis Architects is dedicated to exploring the possibilities and potential of their vision.

We innovate. We challenge convention (and ourselves). We win awards, and we enjoy the respect of our industry peers. Most of all, however, we take pride in developing successful projects and building long term client relationships.","Architecture and Planning","201-500 employees","Partnership","Baton Rouge, Louisiana","United States","ghc-arch.com","https://www.linkedin.com/company/gracehebertcurtis-architects-apac","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.340Z","KL&A Engineers and Builders","KL&A Inc, Engineers and Builders is a unique firm built around the fundamental idea that structural engineers can and should return to a master builder role, taking ownership not only of design of structural systems, but also cost estimating and at-risk construction. We took the first step by building, alongside our staff of structural engineers, an in-house staff of steel detailers. Using 3D modeling software developed for steel fabricators, we found ourselves on the cutting edge of construction-grade BIM modeling before the term “BIM” existed. We have since built a company with bonding capability, and a track record of successful construction projects in which the same design engineering team carries the project through estimating, detailing, fabrication and erection of structural steel. There is no faster or more reliable process for steel construction than our integrated approach.

Our philosophy of personal responsibility has generated a corporate atmosphere of problem solving that embraces scopes of work that other structural engineers might be unable to serve. At the same time, our approach to steel design and construction has informed and energized our work in many other areas, including reinforced and post-tensioned concrete, heavy timber, multi-story stick frame, and masonry design, as well as emerging materials such as rammed earth, structural insulating panels, and structural glass. High design architects have responded with enthusiasm to our creative spirit, backed by engineering fundamentals and virtual building tools, as have designers of industrial structures and all manner of building types, urban and mountain, low or high budget.

Founded in 1994, KL&A is the second largest structural firm in Colorado, with four offices in Colorado and Wyoming. We have been voted one of the top structural engineering firms to work for in the U.S. since 2006.","Civil Engineering","51-200 employees","Privately Held","Golden, Colorado","United States","klaa.com","https://www.linkedin.com/company/kl&a-inc-structural-engineers-and-builders","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.728Z","O'Neil Langan Architects","O'Neil Langan Architects was established in 1996 combining the expertise of partners Steven O’Neil and Mary Langan. The two architects share a commitment to creative design as well as a dedication to providing professional service. With a rapidly growing practice of young designers and architects, the team delivers consistent service to clients, exciting design solutions, and meticulous detailing. Since its inception the firm has expanded to more than 50 employees in Manhattan, with projects all over the world.

OLA’s portfolio is rich and diversified, but always seeks to bring a fresh approach to design problems. We specialize in high end retail projects, but also work with lower budgets and emerging brands. We are committed to the challenge of designing creatively and offering professional service no matter what the scope of a project.

We provide a range of services to our clients with a staff of architects, interior designers and cad drafters. Our current offerings include: Architectural services, Interior Design services, Project Management, Retail Design, Fixture Design, Image/Identity Design, Visual Merchandising, Graphic Design, In-Store Promotion and Packaging Design. Our prior experience includes work in Retail, Retail Complex Planning, Editing Studios, Corporate Interiors, Hospitality, Healthcare, Showrooms, Residential, Space Planning and Commercial Lobbies.

Our mission is to establish long term relationships based on our proven performance and creativity. The partners are involved in every project, working closely with clients and consultants. The leadership of the partners demonstrates to our staff the goals of dedicated professionalism, accuracy and effective project management.

We are fast growing and always interested in interviewing new talented designers. Please send employment inquiries to:

Email: alex@olarch.com

PLEASE NOTE: All valid employment-related communications will be made ONLY through ALEX@OLARCH.COM and the OLARCH.COM domain.","Architecture and Planning","51-200 employees","Privately Held","New York, NY","United States","olarch.com","https://www.linkedin.com/company/oneil-langan-architects","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.340Z","Interior Solutions","Pre-Construction specialists—outfitting your space, your way and always for success. The Solutions provider for businesses and government, healthcare, military, public safety, industry and education markets, and the service professionals in Digital Construction (BIM), project management, facility maintenance, installation and reconfiguration, space relocation and asset control. From start to install and seated, Interior Solutions delivers a customized, affordable, quality experience for you.","Architecture and Planning","51-200 employees","Privately Held","SLC, Utah","United States","interiorsolutions.net","https://www.linkedin.com/company/interior-solutions","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:36.340Z","Maestro Steel Detailing Inc","Maestro Steel Detailing offers world-class detailing solutions including the latest innovations and cutting-edge technology. We strive every day to meet your needs and deliver projects on-time with quality and accuracy. We embrace challenges and welcome complexities. Our goal is to complete drawings before the agreed timeline. We plan ahead in our recruiting process to ensure our team members are well trained in our processes.","Civil Engineering","201-500 employees","Privately Held","South San Francisco, California","United States","maestrosteeldetailing.com","https://www.linkedin.com/company/maestro-steel-detailing-inc","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:33.364Z","Selux Corporation","Selux is committed to the development of advanced, energy-efficient, interior and exterior luminaires that have helped transform light from a mundane necessity into a vital, vibrant architectural and design element.

Our market philosophy enables the designer to select from a catalog of standards as well as work with our team of local engineers and lighting application professionals to establish their own unique design solutions.","Architecture and Planning","51-200 employees","Privately Held","Highland, NY","United States","selux.us","https://www.linkedin.com/company/selux-corporation","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:33.364Z","HDJ Architects / Engineers / Planners","Improving lives through design since 1936.  It's the why behind what we do every day.

HDJ is a multidisciplinary team of architects, engineers, interior designers, and BIM specialists.  Our team combines creativity, experience, resourcefulness, and collaboration to provide the best possible design solutions to achieve our client's project objectives.

Founded along the Lake Michigan shoreline in West Michigan, our firm supports projects throughout the United States with staff located in Atlanta, Chicago, Cleveland, Detroit, Grand Rapids, Indianapolis, Los Angeles, Muskegon, and Phoenix, HDJ has grown to become one of the leading design firms in the country.","Architecture and Planning","51-200 employees","Privately Held","Grand Rapids, Michigan","United States","hookerdejong.com","https://www.linkedin.com/company/hooker-de-jong","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:33.364Z","MBI Companies Inc.","Since its founding in 1990, MBI Companies Inc. (MBI) has been committed to being the top architectural, engineering, and interiors firm in the markets we serve.  We do this by hiring the most talented and highest integrity people, by being the leader in technological innovations and expertise, by being attentive listeners and problem-solvers for our valued clients, and by creating and executing some of the best-designed projects in our region.

Our staff of over 90 professionals maintains licensing in all 50 states, out of our offices in Knoxville, Chattanooga, and Orlando, Florida.  MBI has three LEED Accredited Professionals on staff with diverse project experience and is an Energy Start Partner design firm.

We are able to save our clients both time and money by streamlining the design process and by utilizing advanced technologies such as Revit 3D Building Information Modeling software for Construction Document production, allowing clients to actively participate in the design process via 3-Dimensional images.

Most importantly, we do what we say we will do – every time.  Our clients can count on us to keep our promises and to meet their deadlines.  MBI focuses on listening to what matters most to our clients, with our over-riding goal being to delight them with the most innovative design solutions possible and to exceed their expectations in every phase of the project.

We welcome the opportunity to learn more about your project and to work with you to deliver exactly what you need within an attentive, proactive, and reliable working relationship.","Architecture and Planning","51-200 employees","Privately Held","Knoxville, TN","United States","mbicompanies.com","https://www.linkedin.com/company/mbi-companies-inc","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:33.364Z","Grupo Triada","Somos un grupo de Empresas Mexicanas dedicadas a servicios de Ingeniería Civil y Consultoría, con especialidad en proyectos de Infraestructura del transporte.  Hemos sido reconocidos como líderes en el diseño de Puentes de gran claro.

Ofrecemos servicios en las áreas de Estudios, Diseño, Gerencia de Proyecto, Supervisión, Asesorías Especializadas e Ingeniería Independiente.","Civil Engineering","201-500 employees","Privately Held","México Distrito Federal, D.F.","Mexico","triada.com.mx","https://www.linkedin.com/company/grupo-triada","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:33.692Z","Haley Ward, Inc.","Haley Ward is a 100% employee-owned technical consulting firm, offering a range of engineering, architecture, planning, environmental, BIM and surveying services focused upon delivering client-based solutions.

Founded as CES, Inc. of Brewer, Maine in 1978 our company evolved into Haley Ward in 2020 to better represent our increasing size, reach, and service portfolio.

At Haley Ward, we value accountability and collaboration. These values drive us to provide every client with quality service that meets, and often exceeds, their expectations, and is one of the reasons clients routinely return to us for help. Haley Ward retains clients through our technical ability and years of experience solving problems across a wide spectrum of complexity.

Haley Ward is headquartered in Bangor, Maine, with offices located in Maine, Massachusetts, New Hampshire, Connecticut, and Florida

Our team includes approximately 300 employee owners.","Civil Engineering","201-500 employees","Privately Held","Bangor, ME","United States","haleyward.com","https://www.linkedin.com/company/haleywardinc","People Search Updated","✅ Sent",,,,
,"2025-07-25T07:48:18.225Z","2025-07-28T11:44:33.364Z","The Dimension Group","The Dimension Group is a full-service architecture, civil engineering, MEP engineering and planning with offices conveniently located in Dallas, Texas and Denver, Colorado. Through NCARB and NCEES, we are able to provide architectural and engineering services in all states.

We work closely with our clients to determine their exact needs on each project, and do what it takes to meet established timelines and budgets. We take ownership in what we do, and provide a quality product with attention and immediate service to all our clients. Our talented team utilizes Autodesk Revit and AutoCAD.","Architecture and Planning","51-200 employees","Partnership","Dallas, Texas","United States","dimensiongroup.com","https://www.linkedin.com/company/the-dimension-group","People Search Updated","✅ Sent",,,,
